NAME,USH18PTRAHAN,USH18PKOH,USH18PLITALIEN,USH18PMATIAS,USH18PGIFFORD,USH18PCHANDLER,USH18PDAS,USH18PBALLINGER,USH18PMALONE,USH18PGOLDER,USH18PBLANK,Pct,SS18PFINEGOLD,SS18PARMANO,SS18PPAYANO,All Others,SS18PBLANK,Total Votes Cast,SS14PLITALIEN,SS14PPAYANO,SS14PRODRIGUEZ,SS14PBLANK,Ward,Pct,SH17PVARGAS,SH17PTOOHEY,All Others,SH17PBLANK,Total Votes Cast,NAMELSAD20,GEOID20
Fitchburg City Ward 2 Precinct B,30.0,79.0,46.0,12.0,65.0,7.0,2.0,8.0,3.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 2 Precinct B,25027000768
Fitchburg City Ward 3 Precinct A,54.0,114.0,39.0,14.0,128.0,2.0,0.0,6.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 3 Precinct A,25027000769
Fitchburg City Ward 3 Precinct B,30.0,106.0,26.0,19.0,65.0,3.0,4.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 3 Precinct B,25027000770
Fitchburg City Ward 4 Precinct A,22.0,34.0,18.0,9.0,39.0,12.0,2.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 4 Precinct A,25027000771
Fitchburg City Ward 4 Precinct B,23.0,37.0,26.0,10.0,60.0,10.0,1.0,4.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 4 Precinct B,25027000772
Fitchburg City Ward 5 Precinct A,45.0,89.0,56.0,16.0,108.0,8.0,4.0,10.0,1.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 5 Precinct A,25027000773
Fitchburg City Ward 5 Precinct B,5.0,22.0,14.0,9.0,63.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 5 Precinct B,25027000774
Fitchburg City Ward 6 Precinct A,42.0,78.0,41.0,32.0,82.0,5.0,1.0,3.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 6 Precinct A,25027000775
Fitchburg City Ward 6 Precinct B,23.0,57.0,17.0,31.0,50.0,6.0,3.0,6.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 6 Precinct B,25027000776
Gardner City Ward 1 Precinct A,28.0,116.0,36.0,5.0,50.0,7.0,0.0,4.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 1 Precinct A,25027000812
